host_response_time,host_response_rate,host_acceptance_rate,host_identity_verified,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
within an hour,1,1,t,Entire rental unit,Entire home/apt,4,1 bath,1,2,1623.68,4.7,4.73,4.49,4.7,4.7,4.62,4.54,t,4.05
N/A,N/A,0.67,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1416,,,,,,,,f,
within an hour,1,1,t,Entire rental unit,Entire home/apt,2,1 bath,,1,1095.04,4.44,4.65,4.37,4.84,4.65,4.44,4.37,t,4.73
within an hour,1,0.95,t,Entire loft,Entire home/apt,8,1 bath,2,4,3568.32,4.52,4.59,4.56,4.78,4.78,5,4.37,f,3.15
within an hour,1,1,t,Entire rental unit,Entire home/apt,2,1 bath,,1,1283.84,4,4.46,3.69,4.62,4.54,4.62,3.38,t,1.53
N/A,N/A,0.5,t,Entire rental unit,Entire home/apt,4,1 bath,1,2,1888,4,5,5,5,5,5,5,f,0.13
within an hour,1,0.75,t,Private room in condo,Private room,2,1 shared bath,,1,944,4.78,4.89,4.89,5,4.89,5,4.33,f,0.94
within a day,1,1,t,Entire rental unit,Entire home/apt,6,1 bath,2,2,3776,,,,,,,,f,
within a few hours,0.9,0.71,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1321.6,5,5,5,5,5,5,5,f,0.43
within an hour,0.99,0.99,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,2152.32,4.8,4.93,4.87,4.93,4.87,4.6,4.6,t,1.96
within an hour,0.99,0.99,t,Entire rental unit,Entire home/apt,2,1 bath,,1,1397.12,4.21,4.07,3.93,4.57,4.64,4.29,4.07,t,1.64
within a few hours,1,N/A,t,Entire rental unit,Entire home/apt,4,1 bath,2,2,2265.6,,,,,,,,f,
